job_title,rating,company_name,location,size,founded,type_of_ownership,industry,sector,revenue,seniority,salary_min,salary_max,salary_avg,description_len,age
data scientist,5.0,Engtal,Remote,1 to 50 Employees,2017,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$5 to $25 million (USD),na,127,127,127.0,621,5
data scientist,3.8,BOEING,WA,10000+ Employees,1916,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),na,96,131,113.5,4773,106
machine learning engineer,4.0,General Motors,Remote,10000+ Employees,1908,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),na,96,131,113.5,5028,114
na,3.2,LegalMatch,NV,51 to 200 Employees,1999,Company - Private,Legal,Legal,$25 to $100 million (USD),na,96,131,113.5,761,23
data engineer,3.9,"The Travelers Companies, Inc.",CT,10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),na,96,131,113.5,1460,169
data scientist,3.9,"The Travelers Companies, Inc.",CT,10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),senior,96,131,113.5,1647,169
data engineer,4.2,Peterson Technology Partners,IL,201 to 500 Employees,1997,Contract,Information Technology Support Services,Information Technology,$25 to $100 million (USD),na,96,131,113.5,742,25
data scientist,3.9,"The Travelers Companies, Inc.",CT,10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),na,96,131,113.5,2283,169
machine learning engineer,-1.0,Manifold Valley,CA,Unknown,-1,-1,-1,-1,Unknown / Non-Applicable,na,96,131,113.5,592,-1
na,4.2,Peterson Technology Partners,IL,201 to 500 Employees,1997,Contract,Information Technology Support Services,Information Technology,$25 to $100 million (USD),na,96,131,113.5,898,25
data scientist,4.3,Delta,GA,10000+ Employees,1928,Company - Public,"Airlines, Airports & Air Transportation",Transportation & Logistics,$10+ billion (USD),na,96,131,113.5,64,94
data scientist,4.0,Veritone,CA,201 to 500 Employees,2014,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),senior,96,131,113.5,1141,8
data scientist,3.3,SPECTRUM,CO,10000+ Employees,2016,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),na,96,131,113.5,4678,6
data engineer,3.9,"The Travelers Companies, Inc.",CT,10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),senior,96,131,113.5,1442,169
data scientist,3.6,Target,MN,10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD),senior,96,131,113.5,1138,60
data scientist,4.3,JDSAT,VA,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,na,96,131,113.5,1325,-1
data analyst,4.0,Milpitas Unified School District,CA,1001 to 5000 Employees,1969,School / School District,Preschools & Child Care Services,Education,$100 to $500 million (USD),na,96,131,113.5,970,53
na,3.9,Zillow,Remote,5001 to 10000 Employees,2005,Company - Public,Real Estate,Real Estate,$1 to $5 billion (USD),na,96,131,113.5,1910,17
na,4.1,John Deere,IL,10000+ Employees,1837,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),na,96,131,113.5,1140,185
na,3.6,Tesla,CA,10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD),na,96,131,113.5,631,19
data scientist,5.0,The Josef Group Inc.,VA,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,na,96,131,113.5,466,-1
data scientist,-1.0,Bright Apps LLC,CA,Unknown,-1,-1,-1,-1,Unknown / Non-Applicable,na,96,131,113.5,1134,-1
machine learning engineer,4.2,Meta,CA,10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),na,96,131,113.5,1711,18
data scientist,4.4,Indeed,TX,10000+ Employees,2004,Company - Private,Internet & Web Services,Information Technology,$1 to $5 billion (USD),na,96,131,113.5,738,18
data engineer,3.7,The Mom Project,GA,51 to 200 Employees,2016,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,na,96,131,113.5,2981,6
data scientist,4.2,CyberCoders,NY,201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD),na,96,131,113.5,916,23
data scientist,4.0,Harnham,NY,51 to 200 Employees,2006,Company - Private,HR Consulting,Human Resources & Staffing,$25 to $100 million (USD),na,96,131,113.5,417,16
machine learning engineer,-1.0,Roc Search,TX,Unknown,-1,-1,-1,-1,Unknown / Non-Applicable,na,96,131,113.5,434,-1
data scientist,3.9,Apex Systems,OH,1001 to 5000 Employees,1995,Company - Public,Enterprise Software & Network Solutions,Information Technology,$1 to $5 billion (USD),na,96,131,113.5,1970,27
data scientist,5.0,Engtal,Remote,1 to 50 Employees,2017,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$5 to $25 million (USD),na,96,131,113.5,1056,5
data scientist,4.2,Mars,TN,10000+ Employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),senior,96,131,113.5,1009,111
data scientist,4.5,Continental Finance Company,DE,51 to 200 Employees,2005,Company - Private,Banking & Lending,Financial Services,$5 to $25 million (USD),na,77,116,96.5,1008,17
data scientist,3.5,Amentum,DC,10000+ Employees,-1,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,na,77,116,96.5,1092,-1
data engineer,3.9,"The Travelers Companies, Inc.",CT,10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),na,77,116,96.5,1460,169
data analyst,3.7,Coin Cloud,NV,201 to 500 Employees,2014,Company - Private,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable,na,77,116,96.5,552,8
data engineer,4.2,Peterson Technology Partners,IL,201 to 500 Employees,1997,Contract,Information Technology Support Services,Information Technology,$25 to $100 million (USD),na,77,116,96.5,742,25
na,3.2,LegalMatch,NV,51 to 200 Employees,1999,Company - Private,Legal,Legal,$25 to $100 million (USD),na,77,116,96.5,761,23
data scientist,-1.0,EpochGeo,DC,Unknown,-1,-1,-1,-1,Unknown / Non-Applicable,na,77,116,96.5,977,-1
data scientist,4.3,JDSAT,VA,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,na,77,116,96.5,1325,-1
na,4.2,Peterson Technology Partners,IL,201 to 500 Employees,1997,Contract,Information Technology Support Services,Information Technology,$25 to $100 million (USD),na,77,116,96.5,898,25
machine learning engineer,-1.0,Manifold Valley,CA,Unknown,-1,-1,-1,-1,Unknown / Non-Applicable,na,77,116,96.5,592,-1
data engineer,3.9,"The Travelers Companies, Inc.",CT,10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),senior,77,116,96.5,1442,169
data scientist,3.7,Coin Cloud,NV,201 to 500 Employees,2014,Company - Private,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable,na,77,116,96.5,435,8
data analyst,4.0,Milpitas Unified School District,CA,1001 to 5000 Employees,1969,School / School District,Preschools & Child Care Services,Education,$100 to $500 million (USD),na,77,116,96.5,970,53
